Gender,Age  group  (years),Population  estimate  ('000),Current  smokers  (%),Daily  smokers  (%),Occasional  smokers  (%),Former  smokers  (%),Never  smokers  (%),Table_ID,Canada  (%),NL  (%),PE  (%),NS  (%),NB  (%),QC  (%),ON  (%),MB  (%),SK  (%),AB  (%),BC  (%),Age group (years),Population estimate ('000),Zero (%),One time (%),Two to three times (%),Four or more times (%),Switched to vaping  (%),Used nicotine replacement products  (%),Made deal with a friend/family member  (%),Reduced number of cigarettes you smoked  (%),Used a 1-800 quitline or a smokers helpline  (%),Used an internet-based program  (%),Used a smart phone app  (%),Tried to quit smoking on your own  (%),Unnamed: 9,Unnamed: 10,Unnamed: 11,Age group  (years),Any tobacco productFootnote 2  (%),Cigarettes  (%),Cigars  (%),Little cigars or cigarillos  (%),Pipe  (%),Chewing tobacco  (%),Water-pipe w/ tobacco  (%),Vaping  (%),Daily (%),Less than daily but at least once a week (%),Less than weekly but at least once in past month (%),Not at all (%),Vaped e-liquid with nicotine  (%),Vaped e-liquid without nicotine  (%),Vaped e-liquid with unknown nicotine content  (%),Tobacco  (%),Fruit  (%),Candy  (%),Dessert  (%),Mint or Menthol  (%),Flavourless  (%),No usual flavour  (%),Other  (%),Curiosity  (%),Because I enjoy it  (%),To reduce stress  (%),Smoking cessationFootnote 2  (%),To use where smoking is not allowed  (%),To avoid returning to smoking  (%),Social sourcesFootnote 2  (%),Retail sourcesFootnote 3  (%),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Vaping status,Unnamed: 0,Much less harmful than cigarettes (%),Somewhat less harmful than cigarettes (%),About the same as cigarettes (%),Somewhat more harmful than cigarettes (%),Much more harmful than cigarettes (%),Don't know (%),Daily  (%),Less than daily but at least once a week  (%),Less than weekly but at least once in past month  (%),Not at all  (%),Canada,NL,PE,NS,NB,QC,ON,MB,SK,AB,BC
"[95% confidence intervals in brackets]  Table 5 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes used of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vapes are excluded.  Return to table 5 note 1 referrer  Table 5 Note 2  Any tobacco product includes past-30-day use of cigarettes, little cigars or cigarillos, cigars, pipe, chewing tobacco, and/or a waterpipe with tobacco.  E-cigarettes and other vaping devices are excluded.  Return to table 5 note 2 referrer  Table 5 Note *  Moderate sampling variability, interpret with caution.  Return to table 5 note * referrer  Table 5 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 5 note # referrer  Table 5 Note ↑  Rounds up to whole number.  Return to table 5 note ↑ referrer  Table 5 Note↓  Rounds down to whole number.  Return to table 5 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,Table_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 5 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes used of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vapes are excluded.  Return to table 5 note 1 referrer  Table 5 Note 2  Any tobacco product includes past-30-day use of cigarettes, little cigars or cigarillos, cigars, pipe, chewing tobacco, and/or a waterpipe with tobacco.  E-cigarettes and other vaping devices are excluded.  Return to table 5 note 2 referrer  Table 5 Note *  Moderate sampling variability, interpret with caution.  Return to table 5 note * referrer  Table 5 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 5 note # referrer  Table 5 Note ↑  Rounds up to whole number.  Return to table 5 note ↑ referrer  Table 5 Note↓  Rounds down to whole number.  Return to table 5 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 5 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes used of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vapes are excluded.  Return to table 5 note 1 referrer  Table 5 Note 2  Any tobacco product includes past-30-day use of cigarettes, little cigars or cigarillos, cigars, pipe, chewing tobacco, and/or a waterpipe with tobacco.  E-cigarettes and other vaping devices are excluded.  Return to table 5 note 2 referrer  Table 5 Note *  Moderate sampling variability, interpret with caution.  Return to table 5 note * referrer  Table 5 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 5 note # referrer  Table 5 Note ↑  Rounds up to whole number.  Return to table 5 note ↑ referrer  Table 5 Note↓  Rounds down to whole number.  Return to table 5 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 5 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes used of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vapes are excluded.  Return to table 5 note 1 referrer  Table 5 Note 2  Any tobacco product includes past-30-day use of cigarettes, little cigars or cigarillos, cigars, pipe, chewing tobacco, and/or a waterpipe with tobacco.  E-cigarettes and other vaping devices are excluded.  Return to table 5 note 2 referrer  Table 5 Note *  Moderate sampling variability, interpret with caution.  Return to table 5 note * referrer  Table 5 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 5 note # referrer  Table 5 Note ↑  Rounds up to whole number.  Return to table 5 note ↑ referrer  Table 5 Note↓  Rounds down to whole number.  Return to table 5 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 5 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes used of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vapes are excluded.  Return to table 5 note 1 referrer  Table 5 Note 2  Any tobacco product includes past-30-day use of cigarettes, little cigars or cigarillos, cigars, pipe, chewing tobacco, and/or a waterpipe with tobacco.  E-cigarettes and other vaping devices are excluded.  Return to table 5 note 2 referrer  Table 5 Note *  Moderate sampling variability, interpret with caution.  Return to table 5 note * referrer  Table 5 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 5 note # referrer  Table 5 Note ↑  Rounds up to whole number.  Return to table 5 note ↑ referrer  Table 5 Note↓  Rounds down to whole number.  Return to table 5 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 5 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes used of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vapes are excluded.  Return to table 5 note 1 referrer  Table 5 Note 2  Any tobacco product includes past-30-day use of cigarettes, little cigars or cigarillos, cigars, pipe, chewing tobacco, and/or a waterpipe with tobacco.  E-cigarettes and other vaping devices are excluded.  Return to table 5 note 2 referrer  Table 5 Note *  Moderate sampling variability, interpret with caution.  Return to table 5 note * referrer  Table 5 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 5 note # referrer  Table 5 Note ↑  Rounds up to whole number.  Return to table 5 note ↑ referrer  Table 5 Note↓  Rounds down to whole number.  Return to table 5 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 5 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes used of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vapes are excluded.  Return to table 5 note 1 referrer  Table 5 Note 2  Any tobacco product includes past-30-day use of cigarettes, little cigars or cigarillos, cigars, pipe, chewing tobacco, and/or a waterpipe with tobacco.  E-cigarettes and other vaping devices are excluded.  Return to table 5 note 2 referrer  Table 5 Note *  Moderate sampling variability, interpret with caution.  Return to table 5 note * referrer  Table 5 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 5 note # referrer  Table 5 Note ↑  Rounds up to whole number.  Return to table 5 note ↑ referrer  Table 5 Note↓  Rounds down to whole number.  Return to table 5 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 5 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes used of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vapes are excluded.  Return to table 5 note 1 referrer  Table 5 Note 2  Any tobacco product includes past-30-day use of cigarettes, little cigars or cigarillos, cigars, pipe, chewing tobacco, and/or a waterpipe with tobacco.  E-cigarettes and other vaping devices are excluded.  Return to table 5 note 2 referrer  Table 5 Note *  Moderate sampling variability, interpret with caution.  Return to table 5 note * referrer  Table 5 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 5 note # referrer  Table 5 Note ↑  Rounds up to whole number.  Return to table 5 note ↑ referrer  Table 5 Note↓  Rounds down to whole number.  Return to table 5 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 5 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes used of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vapes are excluded.  Return to table 5 note 1 referrer  Table 5 Note 2  Any tobacco product includes past-30-day use of cigarettes, little cigars or cigarillos, cigars, pipe, chewing tobacco, and/or a waterpipe with tobacco.  E-cigarettes and other vaping devices are excluded.  Return to table 5 note 2 referrer  Table 5 Note *  Moderate sampling variability, interpret with caution.  Return to table 5 note * referrer  Table 5 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 5 note # referrer  Table 5 Note ↑  Rounds up to whole number.  Return to table 5 note ↑ referrer  Table 5 Note↓  Rounds down to whole number.  Return to table 5 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 5 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes used of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vapes are excluded.  Return to table 5 note 1 referrer  Table 5 Note 2  Any tobacco product includes past-30-day use of cigarettes, little cigars or cigarillos, cigars, pipe, chewing tobacco, and/or a waterpipe with tobacco.  E-cigarettes and other vaping devices are excluded.  Return to table 5 note 2 referrer  Table 5 Note *  Moderate sampling variability, interpret with caution.  Return to table 5 note * referrer  Table 5 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 5 note # referrer  Table 5 Note ↑  Rounds up to whole number.  Return to table 5 note ↑ referrer  Table 5 Note↓  Rounds down to whole number.  Return to table 5 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Genders,,,,,,,,Table_6,,,,,,,,,,,,All age  groups,30893,,,,,,,,,,,,,,,,,,,,,,,,,2.1  [1.7-2.5],0.9  [0.6-1.1],1.8  [1.4-2.1],95.3  [94.7-95.8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,,,,,,,,Table_6,,,,,,,,,,,,All age  groups,15227,,,,,,,,,,,,,,,,,,,,,,,,,2.6  [2.1-3.2],1.0Footnote *  [0.6-1.4],2.2  [1.6-2.8],94.2  [93.3-95.1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,,,,,,,,Table_6,,,,,,,,,,,,All age  groups,15651,,,,,,,,,,,,,,,,,,,,,,,,,1.5Footnote ↑  [1.1-2.0],0.7Footnote *  [0.4-1.1],1.3  [1.0-1.6],96.4  [95.8-97.0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,,,,,,,Table_6,,,,,,,,,,,,15-19,2809,,,,,,,,,,,,,,,,,,,,,,,,,4.7  [3.3-6.0],3.3Footnote *  [2.2-4.4],7.1  [5.5-8.7],84.9  [82.6-87.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,,,,,,,Table_6,,,,,,,,,,,,20-24,1802,,,,,,,,,,,,,,,,,,,,,,,,,5.8  [4.1-7.6],Footnote #,6.9  [5.2-8.7],84.8  [82.3-87.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,,,,,,,Table_6,,,,,,,,,,,,25+,26283,,,,,,,,,,,,,,,,,,,,,,,,,1.6  [1.2-1.9],Footnote #,0.8Footnote *  [0.5-1.2],97.1  [96.5-97.7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,,,,,,,Table_6,,,,,,,,,,,,25-44,9974,,,,,,,,,,,,,,,,,,,,,,,,,2.4Footnote *  [1.6-3.3],Footnote #,Footnote #,95.0  [93.7-96.3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,,,,,,,Table_6,,,,,,,,,,,,45+,16308,,,,,,,,,,,,,,,,,,,,,,,,,1.0  [0.7-1.4],Footnote #,Footnote #,98.4  [98.0-98.8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,,,,,,,,Table_6,,,,,,,,,,,,15-19,1433,,,,,,,,,,,,,,,,,,,,,,,,,5.6Footnote *  [3.5-7.8],Footnote #,6.7Footnote *  [4.4-8.9],83.9  [80.5-87.3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,,,,,,,,Table_6,,,,,,,,,,,,20-24,945,,,,,,,,,,,,,,,,,,,,,,,,,7.8Footnote *  [5.2-10.5],Footnote #,7.2Footnote *  [4.7-9.7],82.0  [78.2-85.8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,,,,,,,,Table_6,,,,,,,,,,,,25+,12849,,,,,,,,,,,,,,,,,,,,,,,,,1.9  [1.3-2.5],Footnote #,Footnote #,96.2  [95.3-97.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,,,,,,,,Table_6,,,,,,,,,,,,25-44,4946,,,,,,,,,,,,,,,,,,,,,,,,,2.9Footnote *  [1.6-4.2],Footnote #,Footnote #,93.3  [91.0-95.6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,,,,,,,,Table_6,,,,,,,,,,,,45+,7903,,,,,,,,,,,,,,,,,,,,,,,,,1.3Footnote *  [0.8-1.8],Footnote #,Footnote #,98.1  [97.5-98.7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,,,,,,,,Table_6,,,,,,,,,,,,15-19,1366,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,7.6  [5.2-10.1],86.4  [83.3-89.4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,,,,,,,,Table_6,,,,,,,,,,,,20-24,852,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,6.7Footnote *  [4.1-9.3],88.2  [85.0-91.4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,,,,,,,,Table_6,,,,,,,,,,,,25+,13434,,,,,,,,,,,,,,,,,,,,,,,,,1.2Footnote *  [0.8-1.7],Footnote #,Footnote #,97.9  [97.3-98.5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,,,,,,,,Table_6,,,,,,,,,,,,25-44,5028,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,Footnote #,96.7 [95.4-98.0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,,,,,,,,Table_6,,,,,,,,,,,,45+,8406,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,Footnote #,98.7 [98.1-99.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[95% confidence intervals in brackets]  Table 6 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 6 note 1 referrer  Table 6 Note *  Moderate sampling variability, interpret with caution.  Return to table 6 note * referrer Table 6 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 3 note # referrer Table 6 Note ↑  Rounds up to whole number.  Return to table 6 note ↑ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,Table_6,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 6 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 6 note 1 referrer  Table 6 Note *  Moderate sampling variability, interpret with caution.  Return to table 6 note * referrer Table 6 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 3 note # referrer Table 6 Note ↑  Rounds up to whole number.  Return to table 6 note ↑ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 6 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 6 note 1 referrer  Table 6 Note *  Moderate sampling variability, interpret with caution.  Return to table 6 note * referrer Table 6 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 3 note # referrer Table 6 Note ↑  Rounds up to whole number.  Return to table 6 note ↑ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 6 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 6 note 1 referrer  Table 6 Note *  Moderate sampling variability, interpret with caution.  Return to table 6 note * referrer Table 6 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 3 note # referrer Table 6 Note ↑  Rounds up to whole number.  Return to table 6 note ↑ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 6 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 6 note 1 referrer  Table 6 Note *  Moderate sampling variability, interpret with caution.  Return to table 6 note * referrer Table 6 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 3 note # referrer Table 6 Note ↑  Rounds up to whole number.  Return to table 6 note ↑ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 6 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 6 note 1 referrer  Table 6 Note *  Moderate sampling variability, interpret with caution.  Return to table 6 note * referrer Table 6 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 3 note # referrer Table 6 Note ↑  Rounds up to whole number.  Return to table 6 note ↑ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 6 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 6 note 1 referrer  Table 6 Note *  Moderate sampling variability, interpret with caution.  Return to table 6 note * referrer Table 6 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 3 note # referrer Table 6 Note ↑  Rounds up to whole number.  Return to table 6 note ↑ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Genders,,,,,,,,Table_7,,,,,,,,,,,,All age  groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9  [3.4-4.4],0.8  [0.6-1.0],0.3Footnote *  [0.2-0.3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,,,,,,,,Table_7,,,,,,,,,,,,All age  groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8  [4.0-5.6],0.8Footnote *  [0.6-1.1],Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,,,,,,,,Table_7,,,,,,,,,,,,All age  groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9  [2.4-3.5],0.7Footnote *  [0.4-1.0],Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,,,,,,,Table_7,,,,,,,,,,,,15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1  [11.0-15.3],3.3Footnote *  [2.2-4.4],Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,,,,,,,Table_7,,,,,,,,,,,,20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1  [10.8-15.3],Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,,,,,,,Table_7,,,,,,,,,,,,25+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3  [1.8-2.8],Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,,,,,,,Table_7,,,,,,,,,,,,25-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0  [2.8-5.2],Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,,,,,,,Table_7,,,,,,,,,,,,45+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2 [0.8-1.6],Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[95% confidence intervals in brackets]  Table 7 Note 1  Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 7 note 1 referrer  Table 7 Note *  Moderate sampling variability, interpret with caution.  Return to table 7 note * referrer  Table 7 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 7 note # referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,Table_7,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 7 Note 1  Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 7 note 1 referrer  Table 7 Note *  Moderate sampling variability, interpret with caution.  Return to table 7 note * referrer  Table 7 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 7 note # referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 7 Note 1  Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 7 note 1 referrer  Table 7 Note *  Moderate sampling variability, interpret with caution.  Return to table 7 note * referrer  Table 7 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 7 note # referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 7 Note 1  Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 7 note 1 referrer  Table 7 Note *  Moderate sampling variability, interpret with caution.  Return to table 7 note * referrer  Table 7 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 7 note # referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 7 Note 1  Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 7 note 1 referrer  Table 7 Note *  Moderate sampling variability, interpret with caution.  Return to table 7 note * referrer  Table 7 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 7 note # referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Genders,,1445,,,,,,Table_8,,,,,,,,,,,,All age  groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5Footnote ↑  [9.9-17.2],42.0  [36.5-47.4],5.6Footnote *  [3.1-8.2],Footnote #,17.8  [13.5-22.0],Footnote #,9.7Footnote *  [5.3-14.0],Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,,875,,,,,,Table_8,,,,,,,,,,,,All age  groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8Footnote *  [8.1-17.5],40.1  [32.4-47.7],Footnote #,Footnote #,18.4  [12.8-24.0],Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,,558,,,,,,Table_8,,,,,,,,,,,,All age  groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,44.5Footnote ↓  [36.3-52.6],Footnote #,Footnote #,16.9Footnote *  [10.2-23.5],Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,414,,,,,,Table_8,,,,,,,,,,,,15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,51.1  [43.1-59.0],Footnote #,Footnote #,17.4Footnote *  [11.4-23.5],Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,272,,,,,,Table_8,,,,,,,,,,,,20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,47.6  [38.5-56.7],Footnote #,Footnote #,24.8  [17.1-32.5],Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,759,,,,,,Table_8,,,,,,,,,,,,25+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8  [14.9-28.6],35.0  [25.8-44.1],Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,499,,,,,,Table_8,,,,,,,,,,,,25-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,39.7  [27.1-52.2],Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,260,,,,,,Table_8,,,,,,,,,,,,45+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6 [28.1-53.1],Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
